pub_date	title	venue	excerpt	citation	site_url	paper_url	url_slug
2024-08-12	Measuring central charge on a universal quantum processor	arXiv:2408.06342 (preprint)	First experimental extraction of CFT central charge on IBM quantum hardware.	N. U. Köylüoğlu, S. Majumder, **M. Amico*** et al., “Measuring central charge on a universal quantum processor,” arXiv:2408.06342 (2024).	publication/2024-08-12-central-charge	https://arxiv.org/abs/2408.06342	central-charge
2024-07-30	Tensor Network enhanced Dynamic Multiproduct Formulas	arXiv:2407.17405 (preprint)	Tensor-network compression plus high-order MPF for longer-time quantum simulation.	N. F. Robertson, B. Pokharel, **M. Amico*** et al., “Tensor Network enhanced Dynamic Multiproduct Formulas,” arXiv:2407.17405 (2024).	publication/2024-07-30-tn-mpf	https://arxiv.org/abs/2407.17405	tn-mpf
2024-07-25	Diagonalization of large many-body Hamiltonians on a quantum processor	arXiv:2407.14431 (preprint)	Krylov-subspace diagonalization of 50-qubit 2-D lattices on IBM devices.	N. Yoshioka, **M. Amico*** et al., “Diagonalization of large many-body Hamiltonians on a quantum processor,” arXiv:2407.14431 (2024).	publication/2024-07-25-many-body	https://arxiv.org/abs/2407.14431	many-body
2024-06-12	Gravitational-wave matched filtering on a quantum computer	Physica Scripta 99 (7) 75117	Quantum circuits replicate matched filtering for GW detection.	D. Veske, C. Tüysüz, **M. Amico*** et al., “Gravitational-wave matched filtering on a quantum computer,” *Phys. Scr.* 99, 75117 (2024).	publication/2024-06-12-gw-qc	https://doi.org/10.1088/1402-4896/ad579f	gw-qc
2024-03-11	Suppressing correlated noise in quantum computers via context-aware compiling	arXiv:2403.06852 (preprint)	Context-aware routing yields ≈18 % fidelity gain on heavy-hex chips.	A. Seif, H. Liao, **M. Amico*** et al., “Suppressing correlated noise in quantum computers via context-aware compiling,” arXiv:2403.06852 (2024).	publication/2024-03-11-context-aware	https://arxiv.org/abs/2403.06852	context-aware
2023-09-18	Defining Best Practices for Quantum Benchmarks	Proc. IEEE QCE 2023 pp. 692–702	Framework for fair, hardware-agnostic NISQ benchmarking.	**M. Amico***, H. Zhang, P. Jurcevic et al., “Defining Best Practices for Quantum Benchmarks,” *IEEE QCE 2023*, 692-702 (2023).	publication/2023-09-18-benchmarks-best	https://doi.org/10.1109/QCE57702.2023.00084	benchmarks-best
2023-03-03	Defining Standard Strategies for Quantum Benchmarks	arXiv:2303.02108 (preprint)	Analyzes benchmark-optimization “gaming” and error-mitigation reporting.	**M. Amico***, H. Zhang, P. Jurcevic et al., “Defining Standard Strategies for Quantum Benchmarks,” arXiv:2303.02108 (2023).	publication/2023-03-03-benchmarks-standard	https://arxiv.org/abs/2303.02108	benchmarks-standard
2022-04-11	Quantum encoding is suitable for matched filtering	arXiv:2204.04159 (preprint)	Grover-based matched filtering with O(L log²L) complexity.	D. Veske, C. Tüysüz, **M. Amico*** et al., “Quantum encoding is suitable for matched filtering,” arXiv:2204.04159 (2022).	publication/2022-04-11-quantum-encoding	https://arxiv.org/abs/2204.04159	quantum-encoding
2021-11-15	Experimental deep reinforcement learning for error-robust gate-set design on a superconducting quantum computer	PRX Quantum 2 040324	AI-discovered pulses cut two-qubit errors >2× on IBM hardware.	Y. Baum, **M. Amico*** et al., “Experimental deep reinforcement learning for error-robust gate-set design on a superconducting quantum computer,” *PRX Quantum* 2, 040324 (2021).	publication/2021-11-15-drl-gates	https://doi.org/10.1103/PRXQuantum.2.040324	drl-gates
2020-09-08	Simulation of wave-particle duality in multipath interferometers on a quantum computer	Phys. Rev. A 102 032605	First 16-path wave–particle duality experiment on NISQ hardware.	**M. Amico**, C. Dittel, “Simulation of wave-particle duality in multipath interferometers on a quantum computer,” *Phys. Rev. A* 102, 032605 (2020).	publication/2020-09-08-wave-particle	https://doi.org/10.1103/PhysRevA.102.032605	wave-particle
2019-03-02	An experimental study of Shor’s factoring algorithm on IBM Q	Phys. Rev. A 100 012305	Compiled Shor’s algorithm for N = 15, 21, 35 on superconducting qubits.	**M. Amico**, Z. H. Saleem, M. Kumph, “An experimental study of Shor’s factoring algorithm on IBM Q,” *Phys. Rev. A* 100, 012305 (2019).	publication/2019-03-02-shor-ibmq	https://doi.org/10.1103/PhysRevA.100.012305	shor-ibmq
2018-10-22	Dissipative quantum entanglement dynamics of two and three qubits due to the dynamical Lamb effect	Phys. Rev. A 98 042325	Time-dependent Lamb shift generates multipartite entanglement.	**M. Amico**, O. L. Berman, R. Ya. Kezerashvili, “Dissipative quantum entanglement dynamics of two and three qubits due to the dynamical Lamb effect,” *Phys. Rev. A* 98, 042325 (2018).	publication/2018-10-22-lamb-entanglement	https://doi.org/10.1103/PhysRevA.98.042325	lamb-entanglement
